,Symbol,Order,Shares
2011-10-07,JPM,BUY,0.0
2011-10-10,JPM,BUY,0.0
2011-10-11,JPM,BUY,0.0
2011-10-12,JPM,BUY,0.0
2011-10-13,JPM,BUY,0.0
2011-10-14,JPM,BUY,0.0
2011-10-17,JPM,BUY,0.0
2011-10-18,JPM,BUY,0.0
2011-10-19,JPM,BUY,0.0
2011-10-20,JPM,BUY,0.0
2011-10-21,JPM,BUY,0.0
2011-10-24,JPM,BUY,0.0
2011-10-25,JPM,BUY,0.0
2011-10-26,JPM,BUY,0.0
2011-10-27,JPM,BUY,0.0
2011-10-28,JPM,BUY,0.0
2011-10-31,JPM,BUY,0.0
2011-11-01,JPM,BUY,0.0
2011-11-02,JPM,BUY,0.0
2011-11-03,JPM,BUY,0.0
2011-11-04,JPM,BUY,0.0
2011-11-07,JPM,BUY,0.0
2011-11-08,JPM,BUY,0.0
2011-11-09,JPM,BUY,0.0
2011-11-10,JPM,BUY,0.0
2011-11-11,JPM,BUY,0.0
2011-11-14,JPM,BUY,0.0
2011-11-15,JPM,BUY,0.0
2011-11-16,JPM,BUY,0.0
2011-11-17,JPM,BUY,0.0
2011-11-18,JPM,BUY,0.0
2011-11-21,JPM,BUY,0.0
2011-11-22,JPM,BUY,0.0
2011-11-23,JPM,BUY,0.0
2011-11-25,JPM,BUY,0.0
2011-11-28,JPM,BUY,0.0
2011-11-29,JPM,BUY,0.0
2011-11-30,JPM,BUY,0.0
2011-12-01,JPM,BUY,0.0
2011-12-02,JPM,BUY,0.0
2011-12-05,JPM,BUY,0.0
2011-12-06,JPM,BUY,0.0
2011-12-07,JPM,BUY,0.0
2011-12-08,JPM,BUY,0.0
2011-12-09,JPM,BUY,0.0
2011-12-12,JPM,BUY,0.0
2011-12-13,JPM,BUY,0.0
2011-12-14,JPM,BUY,0.0
2011-12-15,JPM,BUY,0.0
2011-12-16,JPM,BUY,0.0
2011-12-19,JPM,BUY,0.0
2011-12-20,JPM,BUY,0.0
2011-12-21,JPM,BUY,0.0
2011-12-22,JPM,BUY,0.0
2011-12-23,JPM,BUY,0.0
2011-12-27,JPM,BUY,0.0
2011-12-28,JPM,BUY,0.0
2011-12-29,JPM,BUY,0.0
2011-12-30,JPM,BUY,0.0
